Code,Date,Open,High,Low,Close,Volume,Accum,Accum 2
FPNI,6/2/2020,90,93,90,91,3439,-551,223
FREN,6/2/2020,97,98,95,96,288590,-6475,-11712
FREN-W,6/2/2020,25,25,24,24,17762,-2498,0
FUJI,6/2/2020,103,108,102,108,501,443,-1
GAMA,6/2/2020,50,50,50,50,1,0,0
GDST,6/2/2020,54,54,52,52,1032,266,0
GDYR,6/2/2020,1570,1570,1570,1570,0,0,0
GEMA,6/2/2020,364,364,364,364,0,0,0
GEMS,6/2/2020,2550,2550,2550,2550,0,0,0
GGRM,6/2/2020,48675,48750,47500,47500,24048,-5179,-4677
GGRP,6/2/2020,284,286,266,282,430,193,-6
GHON,6/2/2020,1550,1750,1550,1750,40,-12,0
GIAA,6/2/2020,242,254,238,250,1020896,66539,-22553
GJTL,6/2/2020,358,366,354,364,38417,-9244,-6591
GLOB,6/2/2020,220,222,220,220,450,415,0
GLVA,6/2/2020,228,228,220,228,771,-302,176
GMFI,6/2/2020,78,81,77,79,105836,-34276,-504
GMTD,6/2/2020,17000,17000,17000,17000,0,0,0
GOLD,6/2/2020,181,181,181,181,0,0,0
GOLL,6/2/2020,50,50,50,50,0,0,0
GOOD,6/2/2020,1260,1285,1260,1285,3212,453,-7
GPRA,6/2/2020,50,52,50,50,17107,6684,-1
GREN,6/2/2020,328,328,328,328,0,0,0
GSMF,6/2/2020,111,111,106,111,4,1,0
GTBO,6/2/2020,75,78,75,78,193,115,0
GWSA,6/2/2020,82,83,79,83,2842,-5580,-2746
GZCO,6/2/2020,50,50,50,50,202,-2,0
HADE,6/2/2020,50,50,50,50,7,5,5
HDFA,6/2/2020,160,160,160,160,0,0,0
HDIT,6/2/2020,525,525,525,525,0,0,0
HDTX,6/2/2020,120,120,120,120,0,0,0
HEAL,6/2/2020,3150,3210,3150,3200,4091,5109,2432
HELI,6/2/2020,198,220,180,195,993,243,0
HELI-W,6/2/2020,8,9,7,9,957,221,0
HERO,6/2/2020,950,950,845,890,44,-64,-37
HEXA,6/2/2020,2890,3090,2890,3010,2093,-786,-412
HITS,6/2/2020,535,545,530,530,301,200,0
HKMU,6/2/2020,63,68,60,67,564197,109982,-30332
HMSP,6/2/2020,1840,1895,1820,1845,728946,25499,42969
HOKI,6/2/2020,680,695,675,690,221717,-14145,-3162
HOKI-W,6/2/2020,412,434,412,418,107,29,0
HOME,6/2/2020,50,50,50,50,0,0,0
HOTL,6/2/2020,77,77,74,74,26,-24,0
HRME,6/2/2020,140,140,140,140,16369,-5266,0
HRTA,6/2/2020,232,242,226,240,777,-133,0
HRUM,6/2/2020,1225,1240,1215,1240,707,90,-84
IATA,6/2/2020,50,50,50,50,0,0,0
IBFN,6/2/2020,320,320,320,320,0,0,0
IBFN-W,6/2/2020,8,8,8,8,5,1,0
IBST,6/2/2020,8200,8200,8200,8200,0,0,0
ICBP,6/2/2020,8250,8550,8250,8475,399904,-49312,-50856
ICON,6/2/2020,54,54,53,53,11,-2,0
IDPR,6/2/2020,123,126,120,124,2794,-160,0
IFII,6/2/2020,143,144,142,143,1273,132,-88
IFSH,6/2/2020,256,256,256,256,0,0,0
IGAR,6/2/2020,234,242,232,240,1625,-39,0
IIKP,6/2/2020,50,50,50,50,0,0,0
IKAI,6/2/2020,50,50,50,50,5,5,0
IKAN,6/2/2020,440,454,418,422,60473,8128,-5
IKBI,6/2/2020,260,260,242,256,11,-2,0
IMAS,6/2/2020,505,505,498,500,15139,-8350,-6300
IMJS,6/2/2020,130,134,130,131,9524,4919,255
IMPC,6/2/2020,1115,1130,1105,1130,6357,-2140,-782
INAF,6/2/2020,1000,1035,1000,1010,10852,-5163,-943
INAI,6/2/2020,352,366,352,366,101,0,0
INCF,6/2/2020,50,50,50,50,230,20,0
INCI,6/2/2020,372,396,346,396,659,69,5
INCO,6/2/2020,2800,2990,2800,2930,181683,-20272,-16506
INDF,6/2/2020,5800,6175,5800,6025,353467,38365,21977
INDO,6/2/2020,75,88,75,77,4605,-37,0
INDO-W,6/2/2020,27,29,22,22,8667,-5567,-59
INDR,6/2/2020,2270,2340,2200,2320,540,385,0
INDS,6/2/2020,1915,1915,1915,1915,51,69,50
INDX,6/2/2020,50,50,50,50,87,5,0
INDY,6/2/2020,650,675,640,650,189022,-123440,-86138
INKP,6/2/2020,5250,5900,5200,5750,107763,36723,27448
INOV,6/2/2020,300,300,298,300,44,-31,0
INPC,6/2/2020,51,51,50,50,547,-117,0
INPC-W,6/2/2020,3,4,3,3,381,260,0
INPP,6/2/2020,705,730,675,705,263,-31,0
INPS,6/2/2020,3230,3250,3100,3180,3129,-992,0
INRU,6/2/2020,850,850,850,850,0,0,0
INTA,6/2/2020,258,258,258,258,0,0,0
INTA-W,6/2/2020,10,10,5,7,686,-501,-250
INTD,6/2/2020,232,232,232,232,0,0,0
INTP,6/2/2020,12325,14250,12325,13500,82464,18532,11514
IPCC,6/2/2020,318,350,318,340,26239,3040,60
IPCM,6/2/2020,180,185,177,177,469,108,-5
IPOL,6/2/2020,64,65,64,65,3,-1,-1
IPTV,6/2/2020,382,382,378,382,278263,2657,25
IPTV-W,6/2/2020,93,96,91,94,3595,-537,0
IRRA,6/2/2020,545,550,545,545,55772,-604,99
ISAT,6/2/2020,2020,2090,2020,2070,61585,-23556,-13158
ISSP,6/2/2020,122,124,118,121,37900,4411,350
ITIC,6/2/2020,1845,1905,1835,1905,3192,432,-29
ITMA,6/2/2020,410,410,410,410,0,0,0
ITMA-W,6/2/2020,45,45,45,45,0,0,0
ITMG,6/2/2020,8250,8500,8200,8475,39818,-10639,-8334
JAST,6/2/2020,103,110,98,104,132576,5665,225
JAWA,6/2/2020,79,79,65,67,74,1,0
JAYA,6/2/2020,58,62,58,61,5118,2653,0
JAYA-W,6/2/2020,11,11,10,11,1001,-500,0
JECC,6/2/2020,6950,6950,6950,6950,0,0,0
JGLE,6/2/2020,50,50,50,50,0,0,0
JIHD,6/2/2020,456,456,456,456,1,1,0
JKON,6/2/2020,420,420,420,420,0,0,0
JKSW,6/2/2020,60,60,60,60,0,0,0
JMAS,6/2/2020,199,210,186,195,374,33,0
JPFA,6/2/2020,905,980,900,980,1368648,-335616,-365235
JRPT,6/2/2020,424,424,414,416,4606,-3030,-1395
JSKY,6/2/2020,79,82,79,79,105311,-2596,254
JSMR,6/2/2020,3620,3840,3590,3820,588423,-158886,-166668
JSPT,6/2/2020,990,990,990,990,0,0,0
JTPE,6/2/2020,755,765,750,750,4269,-1025,-339
KAEF,6/2/2020,1160,1180,1160,1180,31556,-270,-784
KARW,6/2/2020,51,51,50,50,71,-58,0
KAYU,6/2/2020,50,51,50,50,2482,-1,0
KBAG,6/2/2020,294,296,290,294,221586,9166,2650
KBAG-W,6/2/2020,60,71,60,67,295,0,0
KBLI,6/2/2020,388,390,380,388,17098,-5862,35
KBLM,6/2/2020,300,300,288,290,41,-30,-13
KBLV,6/2/2020,320,320,308,308,7,-4,0
KBRI,6/2/2020,50,50,50,50,0,0,0
KDSI,6/2/2020,850,850,795,795,71,-27,0
KEEN,6/2/2020,268,280,262,274,27066,-1538,0
KEJU,6/2/2020,870,870,815,860,1073,188,1
KIAS,6/2/2020,50,50,50,50,73,-21,0
KICI,6/2/2020,208,208,202,202,54,38,0
KIJA,6/2/2020,140,149,140,146,28161,-23832,-15988
KINO,6/2/2020,2660,2760,2630,2660,23751,-1766,-1028
KIOS,6/2/2020,165,165,165,165,1,1,0
KIOS-W,6/2/2020,27,27,27,27,0,0,0
KJEN,6/2/2020,1100,1100,1100,1100,3,1,0
KKGI,6/2/2020,208,210,194,200,86,0,-8
KLBF,6/2/2020,1365,1425,1320,1385,635067,-83469,-84116
KMTR,6/2/2020,232,246,230,240,83,54,0
KOBX,6/2/2020,91,91,89,91,391,153,0
KOIN,6/2/2020,100,100,100,100,2,2,0
KONI,6/2/2020,426,428,426,428,39,0,0
KOPI,6/2/2020,555,560,555,560,351,224,-1
KOTA,6/2/2020,690,720,660,660,73025,901,545
KOTA-W,6/2/2020,450,450,420,420,583,-550,0
KPAL,6/2/2020,54,58,54,55,33623,-5735,-84
KPAS,6/2/2020,50,51,50,50,5268,2007,2
KPAS-W,6/2/2020,11,12,11,12,41,-1,0
KPIG,6/2/2020,114,114,112,114,6068,-9456,-4417
KRAH,6/2/2020,560,560,498,498,301,-181,-40
KRAS,6/2/2020,196,202,192,192,1240152,-245500,-86367
KREN,6/2/2020,71,79,71,77,1453550,-822237,-543650
LAND,6/2/2020,312,312,296,296,369,-322,8
LAPD,6/2/2020,50,50,50,50,0,0,0
LCGP,6/2/2020,114,114,114,114,0,0,0
LCKM,6/2/2020,354,356,352,356,694,-204,0
LEAD,6/2/2020,50,50,50,50,7,-7,0
LIFE,6/2/2020,4950,4950,4950,4950,0,0,0
LINK,6/2/2020,2440,2520,2430,2510,5640,5,-183
LION,6/2/2020,234,234,224,234,8505,490,0
LMAS,6/2/2020,50,50,50,50,1012,1000,0
LMPI,6/2/2020,88,88,88,88,0,0,0
LMSH,6/2/2020,242,250,242,250,21,21,0
LPCK,6/2/2020,710,750,705,730,6138,3070,-401
LPGI,6/2/2020,3970,3970,3970,3970,1,0,0
LPIN,6/2/2020,220,220,210,210,68,-52,0
LPKR,6/2/2020,184,186,176,179,295711,48893,22972
LPLI,6/2/2020,78,78,77,78,11,4,0
LPPF,6/2/2020,1495,1540,1450,1485,221038,-16318,-19856
LPPS,6/2/2020,73,73,70,70,898,878,0
LRNA,6/2/2020,148,148,148,148,0,0,0
LSIP,6/2/2020,690,740,690,735,270728,-252,13725
LTLS,6/2/2020,410,426,410,422,908,1168,637
LUCK,6/2/2020,318,330,310,310,2525,9,0
MABA,6/2/2020,50,50,50,50,0,0,0
MAGP,6/2/2020,50,50,50,50,8,0,0
MAIN,6/2/2020,505,535,505,530,142590,-4147,7099
MAMI,6/2/2020,50,50,50,50,107,-213,-107
MAMI-W,6/2/2020,6,6,4,5,6819,-1210,0
MAMIP,6/2/2020,600,600,600,600,0,0,0
MAPA,6/2/2020,2400,2400,2340,2370,27609,-7422,-7144
MAPB,6/2/2020,1500,1500,1500,1500,4,3,0
MAPI,6/2/2020,725,735,705,725,351035,87423,94758
MARI,6/2/2020,135,136,133,136,211,300,200
MARK,6/2/2020,565,580,535,540,47607,-4800,7319
MASA,6/2/2020,376,378,376,378,11,-5,0
MAYA,6/2/2020,6500,6500,6500,6500,0,0,0
MBAP,6/2/2020,1600,1620,1600,1620,18,-1,0
MBSS,6/2/2020,306,308,304,306,6599,-1706,70
MBTO,6/2/2020,59,73,56,70,914,-66,0
MCAS,6/2/2020,965,1030,940,965,48230,-12553,-13049
MCOR,6/2/2020,118,120,116,118,14078,-1469,935
MDIA,6/2/2020,50,50,50,50,1,-2,-1
MDKA,6/2/2020,1325,1355,1310,1350,809512,233795,118321
MDKI,6/2/2020,121,137,121,132,858,193,200
MDLN,6/2/2020,61,69,61,67,1291733,-160248,-101094
MDRN,6/2/2020,50,50,50,50,1007,-7,0
MEDC,6/2/2020,452,462,440,450,966093,-17622,6429
MEDC-W,6/2/2020,40,43,38,41,58020,-7998,2805
