Code,Date,Open,High,Low,Close,Volume,Accum,Accum 2
SHID,6/2/2020,3500,3500,3500,3500,0,0,0
SHIP,6/2/2020,560,575,525,525,4218,265,2
SIDO,6/2/2020,1225,1250,1215,1240,33032,15082,9992
SILO,6/2/2020,5300,5600,5100,5125,660,201,48
SIMA,6/2/2020,50,50,50,50,0,0,0
SIMP,6/2/2020,204,210,204,204,87831,-684,1800
SINI,6/2/2020,745,775,745,775,78,5,0
SINI-W,6/2/2020,390,490,390,488,25,-1,0
SIPD,6/2/2020,1200,1300,1200,1300,176,172,0
SKBM,6/2/2020,370,370,370,370,1,1,0
SKLT,6/2/2020,1610,1610,1610,1610,0,0,0
SKRN,6/2/2020,575,575,575,575,1790,-74,0
SKYB,6/2/2020,51,51,51,51,0,0,0
SLIS,6/2/2020,5150,5300,5150,5275,1615,12,0
SMAR,6/2/2020,2800,2800,2780,2780,52,4,6
SMBR,6/2/2020,290,296,284,288,120961,17215,875
SMCB,6/2/2020,1000,1015,995,1010,1745,-124,0
SMDM,6/2/2020,108,108,92,92,253,-251,-1
SMDR,6/2/2020,143,144,140,144,4461,-1553,0
SMGR,6/2/2020,9900,9900,9700,9725,70208,58842,32520
SMKL,6/2/2020,180,180,180,180,34,-34,0
SMKL-W,6/2/2020,15,16,15,16,14,0,0
SMMA,6/2/2020,12250,12250,12250,12250,0,0,0
SMMT,6/2/2020,83,83,83,83,136,9,0
SMRA,6/2/2020,464,484,462,478,390331,1682,36345
SMRU,6/2/2020,50,50,50,50,0,0,0
SMSM,6/2/2020,1100,1140,1100,1140,27438,-3318,-1646
SOCI,6/2/2020,130,134,126,128,132819,-18885,-14775
SONA,6/2/2020,5000,5000,5000,5000,0,0,0
SOSS,6/2/2020,376,400,376,396,89,-5,0
SOSS-W,6/2/2020,41,65,41,60,119,0,0
SOTS,6/2/2020,218,218,208,208,2,2,0
SOTS-W,6/2/2020,43,43,43,43,0,0,0
SPMA,6/2/2020,280,280,268,268,46,35,-1
SPTO,6/2/2020,480,480,478,480,4646,-8832,-4447
SQMI,6/2/2020,188,188,180,185,10348,-1900,0
SRAJ,6/2/2020,135,142,133,136,1844,534,78
SRIL,6/2/2020,144,154,144,152,462997,-96255,-47932
SRSN,6/2/2020,53,55,53,54,28165,-8979,-30
SRTG,6/2/2020,2820,2850,2770,2850,1303,-1219,-503
SSIA,6/2/2020,312,330,308,320,645135,-12260,-1512
SSMS,6/2/2020,835,860,810,835,11439,-3356,-2390
SSTM,6/2/2020,615,615,615,615,0,0,0
STAR,6/2/2020,138,138,138,138,100,0,0
STTP,6/2/2020,8300,8300,7725,7725,375,343,0
SUGI,6/2/2020,50,50,50,50,0,0,0
SULI,6/2/2020,50,50,50,50,100,-100,0
SUPR,6/2/2020,4000,4000,4000,4000,0,0,0
SURE,6/2/2020,2890,2890,2890,2890,11,-11,0
SWAT,6/2/2020,95,95,93,93,22643,-1602,0
TALF,6/2/2020,266,266,266,266,1,2,1
TAMA,6/2/2020,165,166,160,165,134,41,0
TAMA-W,6/2/2020,7,7,6,7,2371,-4,0
TAMU,6/2/2020,62,62,62,62,0,0,0
TARA,6/2/2020,198,198,198,198,0,0,0
TAXI,6/2/2020,50,50,50,50,0,0,0
TBIG,6/2/2020,1060,1060,1025,1055,255043,20630,37543
TBLA,6/2/2020,510,520,498,515,49763,-18012,-6031
TBMS,6/2/2020,630,650,590,650,72,5,0
TCID,6/2/2020,7625,7875,7625,7875,6,0,0
TCPI,6/2/2020,5200,5300,4980,5025,99644,-26869,-46
TDPM,6/2/2020,89,90,86,88,76085,-17168,-14276
TEBE,6/2/2020,1610,1610,1570,1570,395,-334,0
TELE,6/2/2020,118,121,115,116,428253,-94012,-23563
TFAS,6/2/2020,156,156,147,148,593,-289,0
TFCO,6/2/2020,450,450,432,432,23,13,0
TGKA,6/2/2020,6000,6275,6000,6275,2,-1,0
TGRA,6/2/2020,72,72,69,72,7852,-1545,-650
TIFA,6/2/2020,200,200,200,200,0,0,0
TINS,6/2/2020,450,468,446,458,483937,-127719,-101285
TIRA,6/2/2020,278,278,278,278,0,0,0
TIRT,6/2/2020,54,55,54,55,183,0,0
TKIM,6/2/2020,3900,4280,3770,4260,878900,-387550,-251793
TLKM,6/2/2020,3160,3270,3120,3250,1747906,176730,99351
TMAS,6/2/2020,91,98,90,93,17028,3415,0
TMPO,6/2/2020,120,150,119,148,526,1,0
TNCA,6/2/2020,222,224,222,224,8,-5,0
TOBA,6/2/2020,338,338,338,338,134,52,0
TOPS,6/2/2020,50,50,50,50,116,-119,-110
TOTL,6/2/2020,274,278,272,276,31350,-25078,-14922
TOTO,6/2/2020,212,228,208,208,6536,1072,2
TOWR,6/2/2020,955,1005,945,970,698289,-383446,-269065
TPIA,6/2/2020,7350,7450,7300,7400,36755,5891,3091
TPMA,6/2/2020,226,226,226,226,0,0,0
TRAM,6/2/2020,50,50,50,50,0,0,0
TRAM-W,6/2/2020,11,11,11,11,0,0,0
TRIL,6/2/2020,50,50,50,50,0,0,0
TRIM,6/2/2020,122,129,122,129,19,12,0
TRIN,6/2/2020,278,288,264,278,154999,-18249,823
TRIN-W,6/2/2020,26,27,24,25,1406,347,0
TRIO,6/2/2020,426,426,426,426,0,0,0
TRIS,6/2/2020,226,226,226,226,44,34,0
TRIS-W,6/2/2020,1,1,1,1,0,0,0
TRST,6/2/2020,366,366,366,366,30,0,0
TRUK,6/2/2020,101,105,100,104,22433,-15612,-3040
TRUS,6/2/2020,350,350,350,350,0,0,0
TSPC,6/2/2020,1210,1210,1175,1200,615,242,238
TUGU,6/2/2020,2700,2820,2680,2820,107,-101,0
TURI,6/2/2020,1410,1410,1410,1410,7,-3,0
UCID,6/2/2020,1560,1560,1520,1550,5810,-1656,-1078
ULTJ,6/2/2020,1530,1590,1500,1565,4494,2773,2013
UNIC,6/2/2020,3100,3100,3050,3050,2,-2,0
UNIT,6/2/2020,141,169,141,144,24,-2,0
UNSP,6/2/2020,50,52,50,50,2647,-1065,0
UNTR,6/2/2020,15600,16575,15500,16375,65692,21467,13726
UNVR,6/2/2020,7850,8200,7800,8100,277807,74236,67805
URBN,6/2/2020,1670,1675,1665,1675,505,247,-1
URBN-W,6/2/2020,17,17,16,17,532,373,0
VICO,6/2/2020,108,108,108,108,26703,1044,9400
VINS,6/2/2020,109,109,108,109,81,21,0
VINS-W,6/2/2020,3,4,3,4,48556,17515,0
VIVA,6/2/2020,50,50,50,50,6,4,0
VOKS,6/2/2020,260,264,250,256,40376,783,776
VRNA,6/2/2020,126,126,126,126,10,0,0
WAPO,6/2/2020,67,67,65,66,89,65,0
WEGE,6/2/2020,163,169,162,167,301611,-24114,-15260
WEHA,6/2/2020,109,114,103,112,11460,2044,-1
WICO,6/2/2020,625,625,625,625,0,0,0
WIIM,6/2/2020,132,136,128,134,68471,11146,1598
WIKA,6/2/2020,1085,1150,1085,1145,365260,-18352,-8779
WINS,6/2/2020,68,73,68,73,499,295,387
WOMF,6/2/2020,190,193,189,190,2810,55,0
WOOD,6/2/2020,336,362,336,354,637964,19875,50721
WOWS,6/2/2020,50,50,50,50,6214,-1910,0
WSBP,6/2/2020,156,158,151,157,413792,-78904,-14749
WSKT,6/2/2020,605,635,605,630,718156,-2481,93721
WTON,6/2/2020,232,238,228,236,87409,1593,1481
XAFA,6/2/2020,1024,1024,1024,1024,8,0,0
XAQA,6/2/2020,726,726,726,726,1,0,0
XASG,6/2/2020,84,84,80,84,808,94,0
XBES,6/2/2020,746,746,746,746,1,0,0
XBID,6/2/2020,422,422,422,422,1,0,0
XBIN,6/2/2020,406,406,406,406,1,0,0
XBLQ,6/2/2020,341,341,341,341,0,0,0
XBNI,6/2/2020,757,757,757,757,0,0,0
XBSK,6/2/2020,309,309,309,309,1,0,0
XCID,6/2/2020,88,88,83,88,14,-3,0
XCIS,6/2/2020,104,106,104,106,40,-39,0
XCLQ,6/2/2020,75,75,75,75,1499,0,0
XDIF,6/2/2020,347,347,347,347,0,0,0
XIHD,6/2/2020,375,384,375,380,324,-50,0
XIIC,6/2/2020,808,808,808,808,0,0,0
XIIF,6/2/2020,420,426,416,416,3,0,0
XIIT,6/2/2020,420,435,420,430,938,-24,0
XIJI,6/2/2020,540,540,540,540,2,-2,0
XIML,6/2/2020,214,214,214,214,4,1,0
XIPI,6/2/2020,138,138,138,138,0,0,0
XISB,6/2/2020,398,398,398,398,0,0,0
XISC,6/2/2020,472,476,472,476,20,0,0
XISI,6/2/2020,243,246,243,246,20,0,0
XISR,6/2/2020,305,309,305,309,25,2,0
XKIV,6/2/2020,313,313,313,313,1,0,0
XMIG,6/2/2020,129,129,129,129,0,0,0
XMJM,6/2/2020,1001,1001,1001,1001,0,0,0
XMTS,6/2/2020,371,371,371,371,0,0,0
XNVE,6/2/2020,98,99,98,99,22,0,0
XPCR,6/2/2020,715,715,715,715,1,0,0
XPDV,6/2/2020,340,340,340,340,0,0,0
XPES,6/2/2020,333,333,333,333,0,0,0
XPFT,6/2/2020,394,394,394,394,0,0,0
XPID,6/2/2020,410,410,410,410,0,0,0
XPLC,6/2/2020,352,352,352,352,0,0,0
XPLQ,6/2/2020,347,347,347,347,0,0,0
XPMI,6/2/2020,755,755,755,755,22,0,0
XPSG,6/2/2020,292,292,292,292,0,0,0
XPTD,6/2/2020,373,373,373,373,0,0,0
XSBC,6/2/2020,85,85,85,85,0,0,0
XSMU,6/2/2020,99,99,99,99,0,0,0
XSPI,6/2/2020,750,750,750,750,0,0,0
XSRI,6/2/2020,131,131,131,131,0,0,0
XSSI,6/2/2020,128,128,128,128,0,0,0
XSSK,6/2/2020,533,533,533,533,1,#N/A,#N/A
YELO,6/2/2020,50,50,50,50,1200,1005,0
YELO-W,6/2/2020,5,7,5,7,1073,704,0
YPAS,6/2/2020,600,600,600,600,1,0,0
YULE,6/2/2020,189,189,180,184,8,6,0
ZBRA,6/2/2020,50,50,50,50,0,0,0
ZINC,6/2/2020,140,145,138,143,910684,32721,-324
ZONE,6/2/2020,416,416,412,416,1060,-267,0
